'an'he'zhi'zao'gong 暗盒制造工
'an'quan'gong'cheng'ji'shu'ren'yuan 安全工程技术人员
'an'zhuang'gong 安装工
'ao'ban'yin'shua'gong 凹版印刷工
'ao'ban'zhi'ban'gong 凹版制版工
'ba'chang'ce'shi'yan'gong 靶场测试验工
'ba'chang'shi'she'gong 靶场试射工
'bai'jiu'niang'zao'gong 白酒酿造工
'bai'lei'yan'chu'li'gong 白肋烟处理工
'ban'dao'ti'xin'pian'zhi'zao'gong 半导体芯片制造工
'ban'dao'ti'yuan'liao'zhi'bei'gong 半导体原料制备工
'ban'gong'she'bei'wei'xiu'gong 办公设备维修工
'ban'gong'xiao'ji'xie'zhi'zao'zhuang'pei'gong 办公小机械制造装配工
'ban'hua'zhi'zuo'gong 版画制作工
'bao'an'yuan 保安员
'bao'cha'gong 刨插工
'bao'guan'yuan 保管员
'bao'hua'ban'gong 刨花板工
'bao'jian'an'mo'shi 保健按摩师
'bao'jie'yuan 保洁员
'bao'kan'fa'xing'yuan 报刊发行员
'bao'mo'jia're'qi'zhi'zao'gong 薄膜加热器制造工
'bao'po'gong 爆破工
'bao'po'qi'cai'shi'yan'gong 爆破器材试验工
'bao'shi'zuo'mo'gong 宝石琢磨工
'bao'wen'cai'liao'zhi'zao'gong 保温材料制造工
'bao'wu'yuan 报务员
'bao'xian'li'pei'yuan 保险理陪员
'bao'xian'tui'xiao'yuan 保险推销员
'bao'xian'yuan 保鲜员
'bao'yu'yuan 保育员
'bao'zhuang'cai'liao'jian'yan'gong 包装材料检验工
'bao'zhuang'ren'yuan 包装人员
'bei'lei'jing'hua'gong 贝类净化工
'bei'mei'shai'jiao'gong 备煤筛焦工
'bei'shao'gong 焙烧工
'bi'hua'zhi'zuo'gong 壁画制作工
'bian'dian'she'bei 变电设备
'bian'dian'she'bei'jian'xiu'gong 变电设备检修工
'bian'dian'zhan'zhi'ban'yuan 变电站值班员
'bian'pei'dian'shi'zhi'ban'dian'gong 变配电室值班电工
'bian'ya'qi'jian'xiu'gong 变压器检修工
'biao'ben'yuan 标本员
'biao'zhun'hua'gong'cheng'ji'shu'ren'yuan 标准化工程技术人员
'bin'yi'fu'wu'yuan 殡仪服务员
'bing'fang'hu'shi 病房护士
'bing'li'ji'shi 病理技师
'bing'li'ke'yi'shi 病理科医师
'bing'tiao'gong 并条工
'bo'li'gang'zhi'pin'gong 玻璃钢制品工
'bo'li'jia'gong'gong 玻璃加工工
'bo'li'pei'liao'gong 玻璃配料工
'bo'li'rong'hua'gong 玻璃熔化工
'bo'li'xian'wei'zhi'pin'gong 玻璃纤维制品工
'bo'li'zhi'ban'ji'bo'li'cheng'xing'gong 玻璃制板及玻璃成型工
'bo'li'zhi'pin'zhuang'shi'jia'gong'gong 玻璃制品装饰加工工
'bo'yin'yuan 播音员
'bu'bian'fen'lei'de'qi'ta'cong'ye'ren'yuan 不便分类的其他从业人员
'bu'jian'zhuang'pei'gong 部件装配工
'bu'rong'wan'ju'zhi'zuo'gong 布绒玩具制作工
'cai'feng 裁缝
'cai'gou'yuan 采购员
'cai'hui'diao'tian'zhi'zuo'gong 彩绘雕填制作工
'cai'jian'gong 裁剪工
'cai'kuang'gong'cheng'ji'shu'ren'yuan 采矿工程技术人员
'cai'liao'cheng'fen'jian'yan'gong 材料成分检验工
'cai'liao'wu'li'xing'neng'jian'yan'gong 材料物理性能检验工
'cai'pan'yuan 裁判员
'cai'qi'gong 采气工
'cai'yang'gong 采样工
'cai'you'gong 采油工
'can'ju'qing'xi'bao'guan'yuan 餐具清洗保管员
'can'ting'fu'wu'yuan 餐厅服务员
'cao'di'jian'hu'yuan 草地监护员
'cao'ping'jian'zhi'gong 草坪建植工
'cao'ye'ji'shu'ren'yuan 草业技术人员
'cha'hua'yuan 插花员
'cha'ye'jia'gong'gong 茶叶加工工
'cha'yi'shi 茶艺师
'chan'pin'an'quan'xing'neng'jian'yan'gong 产品安全性能检验工
'chan'pin'huan'jing'shi'ying'xing'neng'jian'yan'gong 产品环境适应性能检验工
'chan'pin'ke'kao'xing'neng'jian'yan'gong 产品可靠性能检验工
'chang'du'ji'liang'gong 长度计量工
'chang'pian'gong 唱片工
'chang'pian'jian'ting'gong 唱片检听工
'chang'yi'gong 肠衣工
'chang'yong'dian'ji'jian'xiu'gong 常用电机检修工
'chao'biao'he'suan'shou'fei'yuan 抄表核算收费员
'chao'sheng'zhen'duan'ke'yi'shi 超声诊断科医师
'che'gong 车工
'che'hao'yuan 车号员
'che'zhan'diao'che'zuo'ye'yuan 车站调车作业员
'che'zhan'huo'yun'yuan 车站货运员
'che'zhan'huo'yun'zuo'ye'zu'zhi'yuan 车站货运作业组织员
'che'zhan'ke'yun'fu'wu'yuan 车站客运服务员
'che'zhan'xing'che'zuo'ye'yuan 车站行车作业员
