char,freq
america,1467
realdonaldtrump,1280
trump,1226
makeamericagreatagain,572
american,538
president,356
people,270
americans,244
donald,244
country,222
vote,190
time,189
obama,185
poll,153
hillary,132
foxnews,131
cnn,123
jobs,113
americafirst,100
love,97
rt,96
day,91
tonight,88
job,86
hope,85
true,83
iowa,81
debate,80
real,79
support,79
media,76
nice,75
barackobama,74
strong,73
win,72
tomorrow,71
donaldtrump,71
amazing,69
join,67
morning,66
watch,66
night,65
deal,65
polls,64
gop,64
safe,63
live,62
oreillyfactor,61
campaign,61
clinton,61
tax,60
news,60
leader,59
record,59
jeb,59
interview,59
forward,58
obamacare,58
iran,58
bring,57
usa,56
business,56
book,56
crowd,55
cont,54
hard,54
pm,53
united,53
bush,52
bad,52
china,51
lead,49
nation,49
agree,48
economy,47
history,47
smart,47
god,47
honor,47
save,47
house,46
foxandfriends,46
carolina,43
national,43
leadership,43
potus,43
wow,43
fantastic,43
money,43
happy,42
office,42
speech,42
votetrump,41
immigration,41
south,41
candidate,41
truth,41
running,41
border,40
talk,40
change,39
fox,38
rubio,38
future,38
rally,38
person,37
politicians,37
megynkelly,36
video,36
illegal,36
jebbush,36
mexico,36
tough,36
coming,36
election,36
maga,35
life,35
family,35
wait,35
cruz,34
total,34
story,34
stand,34
friends,33
leaders,33
yi,33
wonderful,33
republican,32
crippled,32
hampshire,32
guy,32
presidential,32
energy,32
terrible,32
washington,32
enjoy,32
dream,32
seanhannity,31
joe,31
florida,31
remember,31
ready,31
ohio,31
imwithyou,31
workers,30
wall,30
lost,30
protect,30
weak,30
trade,30
special,30
fast,30
women,30
isis,29
sad,29
read,29
plan,28
top,28
democrats,28
totally,28
success,28
finally,28
bless,28
white,27
taxes,27
congratulations,27
republicans,27
greta,27
talking,27
security,27
families,27
establishment,27
growth,27
loves,27
massive,27
erictrump,26
african,26
military,26
awesome,26
congress,26
build,26
post,25
incredible,25
mittromney,25
millions,25
voters,25
hillaryclinton,25
public,25
dishonest,25
supporters,24
nytimes,24
birthday,24
fight,24
speaking,24
attack,24
teamtrump,24
hear,24
cuts,24
signing,24
winning,24
interviewed,24
week,23
message,23
service,23
report,23
watching,23
chris,23
beat,23
released,23
stay,23
reagan,23
