char,freq
china,200
barackobama,61
trade,53
obama,46
president,45
north,40
korea,39
oil,32
jobs,30
xi,28
currency,28
russia,25
america,25
realdonaldtrump,24
chinese,24
deal,24
don,23
laughing,21
trump,21
time,20
leaders,20
country,20
military,18
economy,18
debt,16
united,16
mittromney,15
iran,15
money,14
economic,13
timetogettough,13
continue,13
meeting,12
government,12
threat,12
canada,12
interview,12
tough,12
massive,12
yesterday,12
solve,11
deficit,11
sad,11
people,11
national,10
discussing,10
manipulation,10
american,10
leadership,10
isis,10
war,10
wrong,10
opec,10
dollar,9
election,9
espionage,9
record,9
billion,9
washington,9
keystone,9
building,9
major,9
playing,9
forward,8
manufacturing,8
steal,8
relationship,8
sanctions,8
stealing,8
countries,8
terrible,8
security,8
continues,8
friend,8
enemy,8
send,8
iraq,8
gas,8
laugh,8
reality,8
chrysler,8
news,8
jinping,7
jeep,7
won,7
business,7
negotiations,7
bad,7
defense,7
foreign,7
day,7
told,7
japan,7
cost,7
hillary,7
products,7
stupid,7
hit,7
lavar,6
hard,6
nuclear,6
dollars,6
spending,6
respect,6
fast,6
company,6
yuan,6
global,6
speech,6
move,6
sell,6
billions,6
lost,5
son,5
spoke,5
obamacare,5
allowing,5
barriers,5
destroy,5
killing,5
warming,5
policy,5
progress,5
snowden,5
factories,5
job,5
wealth,5
market,5
buying,5
ally,5
taxes,5
corporate,5
fair,5
property,5
losing,5
gain,5
cut,5
negotiating,5
happen,5
raise,5
smart,5
ve,5
gretawire,5
call,5
surprise,5
usa,5
tax,5
ready,5
nation,5
hundreds,5
kim,4
crooked,4
incompetent,4
heading,4
ago,4
power,4
korean,4
air,4
badly,4
speak,4
meetings,4
fight,4
watch,4
build,4
released,4
talks,4
companies,4
called,4
blind,4
mexico,4
red,4
isn,4
buy,4
didn,4
wouldn,4
cheat,4
borrowing,4
overtake,4
left,4
treasury,4
selling,4
pipeline,4
negotiate,4
real,4
deals,4
clinton,4
energy,4
beat,4
finally,4
hacked,4
fortune,4
dangerous,4
pass,4
ripping,4
wow,4
jonhuntsman,4
iranian,4
donald,4
deficits,4
beating,4
syria,4
borrowed,4
south,4
hope,4
ll,4
aircraft,4
field,4
cyber,4
foolish,4
advantage,4
borrow,4
trillion,4
biggest,4
secretary,4
love,4
demand,4
manipulator,4
trip,4
cheating,4
fake,4
nytimes,4
price,4
week,4
international,4
border,4
financial,4
media,4
asia,4
leaving,4
win,4
control,4
level,4
pressure,4
controls,4
intellectual,4
budget,4
troops,4
jong,3
length,3
melania,3
jail,3
father,3
wasn,3
failing,3
middle,3
tomorrow,3
chance,3
africa,3
vote,3
voted,3
house,3
white,3
tremendous,3
ungrateful,3
announced,3
pres,3
demands,3
wall,3
int,3
talking,3
greta,3
blame,3
force,3
issue,3
future,3
pm,3
vp,3
gains,3
worker,3
elect,3
communist,3
spent,3
bush,3
traitor,3
calls,3
illegal,3
guy,3
days,3
philippines,3
predicted,3
truth,3
daily,3
resources,3
quarter,3
production,3
hacking,3
tpp,3
spends,3
wind,3
design,3
understand,3
stopped,3
drone,3
killed,3
losses,3
happy,3
aid,3
protesters,3
missile,3
sending,3
expanding,3
threats,3
practices,3
trumpvlog,3
ad,3
action,3
unemployment,3
foxnews,3
leader,3
usual,3
weak,3
secrets,3
tariff,3
cars,3
zte,3
robbing,3
steals,3
shoplifting,3
bill,3
largest,3
curse,3
xl,3
threatening,3
program,3
rip,3
street,3
message,3
easily,3
advanced,3
delegation,3
phone,3
clean,3
turbines,3
talk,3
teamcavuto,3
saudi,3
manipulating,3
caught,3
unfair,3
gov,3
stole,3
technology,3
sitting,3
rapidly,3
navy,3
convention,3
arabia,3
olympics,3
markets,3
americans,3
remember,3
start,3
pathetic,3
built,3
political,3
paid,3
apple,3
pays,3
leading,3
airports,3
donaldtrump,3
chen,3
ebola,3
theft,3
approve,3
rate,3
loves,3
allies,3
economically,3
campaign,3
thousands,3
offset,3
bank,3
cutting,3
court,3
charades,3
honor,3
alternative,2
ominous,2
adds,2
enlightenment,2
automobile,2
hoax,2
collusion,2
russian,2
east,2
typically,2
allowed,2
liyuan,2
peng,2
madame,2
coming,2
noko,2
impact,2
women,2
bernie,2
putin,2
stated,2
defiant,2
poor,2
jeb,2
thankful,2
matter,2
board,2
envoy,2
editorial,2
wsj,2
charge,2
ahead,2
bring,2
heavy,2
fool,2
overtaken,2
nations,2
hasn,2
curb,2
helping,2
fields,2
hagel,2
totally,2
grew,2
rest,2
expense,2
pollution,2
night,2
TRUE,2
dc,2
gm,2
diplomatically,2
kerry,2
sided,2
waters,2
trouble,2
change,2
post,2
buys,2
dope,2
lives,2
jim,2
runs,2
maathewdavis,2
manufacture,2
shale,2
late,2
times,2
warning,2
including,2
success,2
beautiful,2
taunting,2
unusually,2
cheap,2
megynkelly,2
ceremony,2
forget,2
hosting,2
consumers,2
rejected,2
benefits,2
flotus,2
piece,2
sold,2
tuned,2
close,2
term,2
worried,2
compete,2
bailed,2
costs,2
busy,2
cents,2
treating,2
tuesday,2
karlrove,2
payments,2
eating,2
appreciates,2
chief,2
advantages,2
tougher,2
tape,2
child,2
pacific,2
biden,2
nafta,2
represented,2
fleet,2
plans,2
statement,2
texas,2
lunch,2
sense,2
wins,2
penalties,2
promised,2
ows,2
vietnam,2
gop,2
vice,2
growth,2
sod,2
soldiers,2
disappointed,2
watched,2
potus,2
default,2
strong,2
door,2
pretty,2
federal,2
expansion,2
read,2
auto,2
complete,2
book,2
bases,2
coal,2
independent,2
iraqis,2
couldn,2
outrageous,2
platform,2
utter,2
taxing,2
cuts,2
heavily,2
commerce,2
lightweight,2
agree,2
september,2
gigantic,2
overruns,2
players,2
bridge,2
pay,2
naval,2
neighbor,2
stolen,2
classify,2
joe,2
party,2
export,2
buildup,2
jet,2
watching,2
begs,2
basketball,2
larger,2
preparing,2
free,2
competitiveness,2
transfers,2
team,2
endorsed,2
wrote,2
tonight,2
car,2
stock,2
feels,2
disrespect,2
story,2
apec,2
norks,2
wasted,2
stand,2
refused,2
unbelievable,2
financing,2
learn,2
taiwan,2
decline,2
housing,2
environmental,2
attacking,2
barack,2
ipad,2
manufactured,2
cnn,2
sector,2
exports,2
discussed,2
debate,2
acting,2
takes,2
event,2
administration,2
helpful,2
climate,2
paulryanvp,2
thursday,2
donations,2
lower,2
projections,2
factory,2
address,2
chaos,2
newsmax,2
publicly,2
potential,2
letting,2
focus,2
ripped,2
workers,2
carrier,2
guangcheng,2
mitt,2
wednesday,2
olympic,2
designs,2
negotiator,2
bows,2
rnc,2
agreed,2
anti,2
return,2
top,2
libya,2
play,2
rt,2
stood,2
decades,2
game,2
foxandfriends,2
gdp,2
spreading,2
reciprocal,2
acquire,2
bay,2
department,2
bought,2
lies,2
uniforms,2
assets,2
favor,2
laughed,2
backdoor,2
damage,2
ships,2
protect,2
unsustainable,2
rogue,2
pacts,2
tariffs,2
west,2
plan,2
march,2
forcing,2
diplomacy,2
stay,2
solution,2
sequestration,2
increase,2
crossroads,2
pleads,2
lift,2
short,2
decisive,2
window,2
raising,2
kissinger,1
henry,1
computer,1
genius,1
pound,1
meddle,1
reduction,1
xinping,1
maintained,1
repr,1
developing,1
considered,1
dispute,1
sounds,1
sound,1
larry,1
vicious,1
calm,1
rates,1
witch,1
trap,1
distant,1
relationships,1
topics,1
primary,1
cool,1
personal,1
reflective,1
individual,1
stories,1
