char,freq
france,32
president,10
emmanuelmacron,7
attack,7
melania,4
paris,4
nice,4
day,4
macron,4
victims,3
radical,3
terrorist,3
honor,3
election,3
race,2
landed,2
injured,2
families,2
horrible,2
military,2
terror,2
joint,2
people,2
conference,2
flotus,2
incredible,2
meetings,2
relationship,2
islamic,2
stronger,2
forward,2
job,2
united,2
prayers,2
american,2
accomplished,2
presidential,2
special,1
family,1
brian,1
daytona,1
nascar,1
attacker,1
actions,1
violent,1
nation,1
grieve,1
yesterday,1
rdy,1
vice,1
fine,1
inviting,1
soldiers,1
happen,1
leaves,1
foxandfriends,1
visit,1
rt,1
stripped,1
days,1
detail,1
events,1
dead,1
pms,1
horrific,1
bastilleday,1
strike,1
condemn,1
wife,1
meeting,1
yrs,1
announcement,1
shortly,1
news,1
learn,1
midst,1
dining,1
historic,1
condolences,1
time,1
sadler,1
wwi,1
perfectly,1
loss,1
aaa,1
officer,1
terrorism,1
bond,1
light,1
wealth,1
businesses,1
afraid,1
abuzz,1
postponed,1
barkley,1
losing,1
anthony,1
discussing,1
french,1
communities,1
smart,1
spencer,1
provide,1
congratulations,1
stone,1
join,1
skarlatos,1
icon,1
ago,1
police,1
destroy,1
brigitte,1
executed,1
heroes,1
thrilled,1
averted,1
lot,1
calls,1
edge,1
escape,1
win,1
session,1
agency,1
juillet,1
bravery,1
unemployment,1
unga,1
doping,1
alex,1
female,1
economy,1
gretawire,1
interview,1
friends,1
bastille,1
hero,1
china,1
washington,1
afternoon,1
tomorrow,1
lancearmstrong,1
busy,1
mourns,1
discussed,1
bravely,1
celebration,1
solidarity,1
evening,1
tax,1
eiffel,1
support,1
rating,1
tower,1
dinner,1
result,1
invitation,1
usembassyfrance,1
delegation,1
leave,1
watching,1
celebrate,1
entry,1
speaking,1
morning,1
worse,1
congress,1
emmanuel,1
friend,1
attacked,1
dedicated,1
louvre,1
holding,1
tourists,1
germany,1
isis,1
women,1
hosting,1
enjoy,1
perfection,1
looked,1
pledge,1
beautiful,1
measures,1
mission,1
planned,1
address,1
tragedy,1
museum,1
seldom,1
allowed,1
terrible,1
trump,1
history,1
discussions,1
iran,1
syria,1
trade,1
rates,1
press,1
vehicle,1
whitehouse,1
borders,1
night,1
kingdom,1
locked,1
charles,1
wisdom,1
bilateral,1
unbreakable,1
power,1
rapidly,1
spectacular,1
honors,1
swapping,1
died,1
hostage,1
constantly,1
fighting,1
