char,freq
japan,35
prime,13
minister,13
korea,8
deal,7
trade,7
china,7
japanese,6
time,4
tpp,4
realdonaldtrump,4
military,4
golf,4
meeting,4
north,4
south,4
talks,3
nations,2
bilateral,2
florida,2
spoke,2
represented,2
els,2
billion,2
obama,2
heading,2
manipulation,2
harbor,2
pearl,2
left,2
deals,2
moon,2
bad,2
international,2
mar,2
massive,2
sell,2
shinzo,2
currency,2
people,2
thebig,2
join,2
country,2
pm,2
lago,2
united,2
president,2
easy,2
ernie,2
deficit,1
discussing,1
enthusiastic,1
hard,1
biggest,1
eleven,1
pres,1
security,1
forward,1
fine,1
meet,1
ready,1
wto,1
efficient,1
contingencies,1
club,1
trump,1
quick,1
playing,1
relationship,1
building,1
abeshinzo,1
ceih,1
ywu,1
happen,1
depth,1
talked,1
workers,1
negotiations,1
round,1
ongoing,1
inform,1
location,1
fla,1
playef,1
merkel,1
jobs,1
courtesy,1
happening,1
offered,1
colombia,1
sustainable,1
air,1
dec,1
robertr,1
deeper,1
faster,1
belgians,1
situation,1
defy,1
agrees,1
dominican,1
coldmud,1
exceptionalist,1
pacific,1
amtrak,1
safety,1
canada,1
setbacks,1
american,1
leverage,1
families,1
business,1
afternoon,1
easily,1
trans,1
short,1
backdoor,1
representatives,1
seat,1
melania,1
softbank,1
durandsentinus,1
coming,1
worker,1
wonderful,1
government,1
attack,1
weak,1
benefits,1
prayers,1
default,1
bombing,1
reality,1
malaysia,1
millions,1
warning,1
uninhabited,1
hit,1
ivankatrump,1
cards,1
reckless,1
stopped,1
energy,1
white,1
invest,1
agreed,1
josealfredotel,1
thailand,1
profitable,1
palm,1
fbi,1
partnership,1
indonesia,1
economy,1
syria,1
wwii,1
standard,1
timetogettough,1
wrong,1
trains,1
winter,1
springs,1
harassing,1
told,1
attacking,1
tax,1
protect,1
headline,1
purchase,1
pariah,1
cars,1
import,1
spending,1
arabia,1
suffers,1
vietnam,1
businesses,1
visit,1
buy,1
recieved,1
plead,1
played,1
guilty,1
tokyo,1
trouble,1
war,1
times,1
calls,1
foreign,1
started,1
angela,1
leaders,1
failing,1
nytimes,1
islands,1
fair,1
rep,1
russia,1
saudi,1
friendship,1
yield,1
ii,1
god,1
masa,1
texas,1
law,1
chancellor,1
scene,1
hosting,1
women,1
couple,1
produce,1
yokota,1
sutherland,1
monitoring,1
dinner,1
base,1
leaving,1
luncheon,1
rt,1
days,1
set,1
enforcement,1
warm,1
touched,1
hospitality,1
increased,1
ceremony,1
skorea,1
philippines,1
america,1
allowing,1
amount,1
highly,1
sophisticated,1
equipment,1
beach,1
meetings,1
ivanka,1
talk,1
india,1
poland,1
uss,1
conference,1
heavy,1
gentleman,1
morning,1
move,1
nonsense,1
hold,1
sailors,1
fitzgerald,1
tonight,1
allies,1
productive,1
speech,1
house,1
countries,1
delegations,1
