               word    freq rank
1                    sb 1984423    1
2                    rt 1700564    2
3                   the 1101899    3
4                    to  588803    4
5                     a  428598    5
6                   for  388390    6
7   esurancesweepstakes  326464    7
8                   you  322154    8
9               broncos  296673    9
10             esurance  292468   10
11                   in  266847   11
12                   is  265392   12
13                   of  245718   13
14                   on  234509   14
15                  win  233618   15
16                  and  233157   16
17             panthers  215919   17
18                  nfl  212620   18
19                    i  202765   19
20                super  183808   20
21                   at  182673   21
22                 with  176209   22
23                 bowl  175996   23
24                 this  172636   24
25                 your  146487   25
26            superbowl  143345   26
27                   it  142812   27
28                  are  136649   28
29         keeppounding  134436   29
30                 that  130056   30
31                   be  128878   31
32                 will  126930   32
33                    k  116187   33
34                 game  115213   34
35                  amp  114805   35
36                   we  108680   36
37                  our  103023   37
38                   my   88247   38
39                  got   88099   39
40                  cam   84442   40
41            https\205   82291   41
42                  big   82116   42
43                   if   79843   43
44                  but   78986   44
45                 from   77616   45
46                 just   77562   46
47                 time   75405   47
48                  now   73245   48
49                  all   70581   49
50                 have   68565   50
51                   up   68325   51
52                  who   66217   52
53                  out   66030   53
54                 show   64489   54
55            sbfanvote   63026   55
56               peyton   62986   56
57                   so   62878   57
58               chance   61111   58
59                  was   60982   59
60                  why   59658   60
61                watch   59629   61
62                  see   57424   62
63                 like   56911   63
64              winning   56585   64
65                  not   56455   65
66           commercial   56182   66
67                  get   55496   67
68                   by   55237   68
69             coldplay   54729   69
70                 more   53962   70
71                think   52840   71
72                 what   50489   72
73                   go   46303   73
74                  one   46216   74
75                   do   45832   75
76                 over   45569   76
77                 here   44364   77
78             halftime   43338   78
79                 away   42667   79
80                 good   42008   80
81                   me   41743   81
82                 gaga   41566   82
83                 lady   41473   83
84              i\222ve   40003   84
85                  how   39888   85
86         httpstco\205   39808   86
87                ready   39421   87
88              manning   38575   88
89        pepsihalftime   38498   89
90                could   37085   90
91              wearing   35345   91
92                   ad   32997   92
93               during   31292   93
94                 it's   31018   94
95                about   30832   95
96              beyonce   29258   96
97              doritos   29183   97
98           httpst\205   28980   98
99                   an   28908   99
100                 day   27361  100
101               going   27283  101
102              anthem   23367  102
103               after   23183  103
104            national   22575  104
105                than   22456  105
106                team   21964  106
107                want   21095  107
108               gonna   20530  108
109                some   20213  109
110                 his   19514  110
111              denver   19428  111
112                best   19115  112
113            ladygaga   18887  113
114                 can   18483  114
115                 i'm   18120  115
116                pass   16901  116
117               today   14239  117
118               enter   14110  118
119               socks   13475  119
120         avosinspace   13424  120
121               shoes   13329  121
122             sandals   13326  122
123            reporter   13304  123
124               jeans   13231  124
125             biggame   13221  125
126   httpstcoqdraydnsb   13194  126
127           brunomars   12641  127
128            tomorrow   12225  128
129         sweepstakes   11635  129
130               check   11502  130
131                when   11362  131
132      avosfrommexico   11341  132
133          beyonc\351   11293  133
134              sunday   11102  134
135               great   10986  135
136                 seo   10660  136
137                 mvp   10637  137
138         performance   10331  138
139                  as   10136  139
140                love   10040  140
141                they    9963  141
142                 new    9745  142
143               field    9616  143
144                 did    9495  144
145            congrats    9468  145
146             tmobile    9397  146
147               still    9384  147
148                  no    9368  148
149               drake    9284  149
150             tonight    8914  150
151             special    8732  151
152     yougotcarriered    8719  152
153                  he    8697  153
154                last    8629  154
155                 has    8536  155
156                 too    8379  156
157     superbowlsunday    8316  157
158               let's    7977  158
159                make    7970  159
