char,freq
realdonaldtrump,8618
trump,5947
amp,2899
president,2094
donald,1735
people,1646
obama,1567
america,1474
country,1248
time,1227
don,1157
love,906
vote,852
TRUE,775
barackobama,741
hillary,735
rt,732
tonight,693
job,649
day,604
watch,602
win,598
news,584
deal,578
makeamericagreatagain,574
bad,573
china,569
night,564
jobs,559
amazing,551
american,548
interview,521
foxnews,508
golf,497
obamacare,497
nice,490
media,488
real,483
business,479
clinton,476
foxandfriends,471
apprentice,470
money,455
cont,455
hope,441
pm,432
cnn,428
celebapprentice,427
won,420
national,414
hard,411
apprenticenbc,410
poll,402
tomorrow,395
happy,392
debate,391
forward,389
election,381
ve,371
ll,370
house,363
record,355
gop,352
morning,352
success,351
campaign,348
tax,346
wow,342
enjoy,341
doesn,338
support,328
smart,325
total,319
mittromney,315
nbc,315
live,315
beautiful,311
speech,310
congratulations,307
guy,305
agree,300
wait,293
crooked,293
fantastic,291
wonderful,287
life,286
office,286
usa,285
season,279
hotel,276
republicans,276
remember,275
watching,274
yesterday,273
united,272
ratings,272
join,270
book,270
celebrity,269
honor,267
fake,265
strong,263
republican,260
totally,260
bush,259
cruz,256
border,256
democrats,255
read,255
economy,254
york,254
leader,254
iran,253
americans,253
week,252
change,251
donaldtrump,251
person,250
top,250
bill,246
iowa,246
talk,245
entrepreneurs,245
military,244
running,242
terrible,241
tough,240
sad,237
fox,236
tower,235
washington,235
ivankatrump,232
white,232
star,231
scotland,228
leadership,227
wrong,224
didn,223
family,222
story,222
luck,220
coming,216
truth,215
government,215
trade,213
lot,213
russia,213
lost,213
crowd,212
florida,209
party,208
start,208
polls,208
discussing,207
history,206
massive,205
stay,203
fast,203
security,203
john,203
jeb,202
art,201
times,198
bring,197
women,197
meeting,197
north,196
disaster,195
chicago,195
presidential,194
care,194
nation,193
awesome,193
wall,192
pay,191
major,191
called,188
friends,187
special,186
isis,186
hear,185
attack,184
maga,184
leaders,182
building,182
fight,181
illegal,181
candidate,180
potus,179
failing,178
immigration,178
mexico,175
team,175
energy,175
debt,175
focus,175
birthday,174
winning,174
city,172
report,171
taxes,171
call,170
ready,168
interviewed,168
club,168
respect,168
rubio,167
doral,167
iraq,164
talking,163
congress,163
successful,162
video,162
lead,162
hit,162
save,161
oil,160
south,160
ago,159
happen,159
megynkelly,159
stupid,159
tv,159
told,159
ted,159
game,158
friend,158
champion,158
god,157
seanhannity,157
sunday,157
post,154
nyc,154
political,154
wind,153
worst,153
celebrityapprentice,153
congrats,153
dollars,152
carolina,152
plan,151
play,150
isn,150
twitter,149
erictrump,148
dems,147
fun,147
press,147
mike,146
oreillyfactor,145
fired,145
beat,145
failed,145
millions,144
weak,144
korea,143
dishonest,143
winner,142
administration,142
chance,142
class,141
check,140
speak,140
law,140
spending,139
worse,139
macys,138
build,138
left,138
politics,137
cuts,137
ohio,137
fan,136
mess,136
hampshire,135
sign,135
mind,135
ties,134
greta,134
joe,134
future,133
rally,133
senate,133
trumpdoral,133
buy,133
cut,132
days,132
politicians,132
biggest,132
incredible,131
healthcare,131
global,131
badly,131
nytimes,131
loved,130
power,130
learn,130
chris,130
finally,128
sir,128
billion,127
economic,127
international,127
hell,126
ny,126
bit,125
low,124
event,124
pres,124
loser,123
losers,123
thinking,122
public,122
free,122
safe,121
race,121
victory,121
spent,121
syria,120
control,120
monday,120
stand,120
war,120
tremendous,120
hate,119
market,119
newsmax,119
set,119
close,118
move,118
david,117
romney,117
senator,116
follow,116
dumb,116
voting,115
speaking,115
ly,115
st,115
continue,114
favorite,114
warming,114
late,114
deals,114
visit,114
vegas,113
absolutely,113
playing,113
governor,113
service,112
int,111
macy,111
reason,110
supporters,110
mark,110
haters,109
veterans,109
fbi,108
watched,108
trumpchicago,107
touch,107
killing,107
donaldjtrumpjr,107
israel,107
abc,107
released,106
decision,106
countries,106
crime,106
charity,106
dc,106
tweets,105
mitt,105
including,105
system,105
fair,105
timetogettough,105
minutes,105
unemployment,104
easy,104
protect,103
statement,103
foreign,103
loves,103
ebola,103
melania,102
virginia,102
lies,102
wife,101
huge,101
excited,101
crazy,101
americafirst,100
waste,100
weekend,100
reagan,100
lightweight,100
feel,100
pennsylvania,100
primary,99
whitehouse,99
west,98
phony,98
nuclear,98
convention,98
forget,98
tweet,97
leaving,97
tune,97
glad,97
saturday,97
stock,97
killed,97
action,97
justice,97
joan,97
air,96
budget,96
choice,96
fire,96
terrific,96
dead,96
policy,95
article,95
losing,95
listen,94
create,94
children,94
bernie,94
fighting,94
heading,94
growth,94
boring,94
lots,93
turbines,93
evening,93
alexsalmond,93
lives,93
sense,93
gas,93
march,93
correct,92
magazine,92
miami,92
thx,92
candidates,91
lose,91
votetrump,90
blue,90
worth,90
voted,90
heard,90
hillaryclinton,90
gretawire,90
word,90
advice,89
term,89
failure,89
meet,89
billmaher,89
votes,89
allowed,89
played,88
conference,88
lie,88
eric,88
nfl,88
thousands,87
texas,87
letterman,87
families,87
started,87
wins,87
marco,87
joke,87
carson,86
television,86
rivers,86
horrible,86
father,86
credit,86
middle,86
talent,85
episode,85
bought,84
yankees,84
christmas,84
voters,84
idea,84
turnberry,84
draintheswamp,83
answer,83
prices,83
mistake,83
exciting,83
pageant,83
trumpvlog,83
links,83
reading,83
tuesday,83
son,83
highly,83
pence,83
debates,83
continues,82
companies,82
paid,82
woman,82
court,82
prez,82
brand,82
questions,82
universe,82
vets,81
negative,81
george,81
honored,81
las,81
tickets,81
chinese,81
trumpforpresident,81
beach,81
starting,80
laughing,80
release,80
stories,80
view,80
school,80
months,80
endorsement,79
understand,79
force,79
reality,79
FALSE,79
police,79
complete,79
borders,79
reporting,79
rosie,79
repeal,79
ahead,79
message,78
wouldn,78
ads,78
ad,78
final,78
standing,78
ur,78
putin,78
dummy,77
piersmorgan,77
announced,77
runs,77
midas,77
website,77
al,77
michael,77
positive,77
center,76
paul,76
leading,76
raise,76
jebbush,76
dinner,76
pathetic,76
sugar,76
rod,76
arizona,76
inspiration,76
november,75
bigger,75
rate,75
views,75
send,75
question,75
takes,75
bless,75
amnesty,74
reform,74
elected,74
defense,74
cost,74
luxury,74
democrat,74
dream,73
prayers,73
rich,73
movement,73
hall,73
food,73
built,73
canada,73
plans,73
lord,73
price,73
couldn,73
surprise,73
karlrove,73
company,73
stated,73
friday,73
billions,73
dannyzuker,72
presidency,72
happened,72
ireland,72
cpac,72
head,72
death,72
tom,72
records,72
missuniverse,72
danscavino,71
destroy,71
signed,71
award,71
wh,71
super,71
confidence,71
trust,71
announcement,71
passion,70
dopey,70
james,70
college,70
private,70
entire,70
freedom,70
gov,70
pass,70
poor,70
list,70
michigan,70
matter,70
host,70
strength,69
breitbartnews,69
afraid,69
increase,69
common,69
waiting,69
estate,68
benghazi,68
street,68
opportunity,68
